Название,Жанр,Режиссер,Страна,Год,IMDB
Люди Икс: Тёмный Феникс," фантастика, боевик, приключения", Саймон Кинберг , США,2019 , 5.7 
Казино," криминал, драма", Мартин Скорсезе ," США, Франция",1995 , 8.2 
Хан Соло: Звёздные войны. Истории," фантастика, боевик, приключения", Рон Ховард , США,2018 , 6.9 
Конг: Остров черепа," фантастика, фэнтези, боевик", Джордан Вот-Робертс ," США, Китай, Вьетнам",2017 , 6.7 
Терминатор: Генезис," фантастика, боевик, приключения", Алан Тейлор ," США, Канада",2015 , 6.3 
Скорость," боевик, приключения, триллер", Ян де Бонт , США,1994 , 7.3 
Страх и ненависть в Лас-Вегасе," драма, комедия", Терри Гиллиам , США,1998 , 7.5 
Джек Ричер," боевик, триллер, детектив", Кристофер Маккуорри , США,2012 , 7.0 
Тихое место 2," фантастика, ужасы, триллер", Джон Красински , США,2020 , 7.2 
Хищные птицы: Потрясающая история Харли Квинн," боевик, криминал, комедия", Кэти Янь ," США, Великобритания",2019 , 6.1 
Жмурки," комедия, криминал, триллер", Алексей Балабанов , Россия,2005 , 7.2 
Остров сокровищ," мультфильм, приключения, комедия", Давид Черкасский , СССР,1988 , 8.1 
Эверест," приключения, биография, драма", Бальтасар Кормакур ," США, Великобритания, Исландия",2015 , 7.1 
После прочтения сжечь," комедия, криминал, драма", Итан Коэн... ," США, Великобритания, Франция",2008 , 7.0 
Зверопой," мультфильм, комедия, семейный", Гарт Дженнингс... ," США, Япония",2016 , 7.1 
Форсаж 4," криминал, боевик, триллер", Джастин Лин ," США, Япония, Мексика",2009 , 6.5 
Чего хотят женщины," комедия, фэнтези, мелодрама", Нэнси Майерс , США,2000 , 6.5 
Приключения Паддингтона," фэнтези, приключения, комедия", Пол Кинг ," Великобритания, Франция",2014 , 7.3 
Сайлент Хилл," ужасы, фэнтези, детектив", Кристоф Ган ," Канада, Франция",2006 , 6.5 
Муви 43, комедия, Стивен Брилл... , США,2013 , 4.4 
Мадагаскар 3," мультфильм, приключения, комедия", Эрик Дарнелл... , США,2012 , 6.8 
Принцесса Мононоке," аниме, мультфильм, фэнтези", Хаяо Миядзаки , Япония,1997 , 8.3 
Монстро," ужасы, фантастика, триллер", Мэтт Ривз , США,2008 , 7.0 
Меняющие реальность," фантастика, криминал, драма", Джордж Нолфи , США,2011 , 7.0 
Крупная рыба," фэнтези, приключения, драма", Тим Бёртон , США,2003 , 8.0 
Человек-паук: Паутина Вселенных," мультфильм, фантастика, боевик", Жуакин Душ Сантуш... , США,2023 , 8.5 
Ультиматум Борна," боевик, детектив, триллер", Пол Гринграсс ," США, Германия, Франция",2007 , 8.0 
Неудержимые," боевик, приключения, триллер", Сильвестр Сталлоне ," США, Болгария, Испания",2010 , 6.4 
Легенда №17," биография, драма, спорт", Николай Лебедев , Россия,2012 , 7.4 
В бой идут одни «старики»," драма, комедия, военный", Леонид Быков , СССР,1973 , 8.2 
Перевозчик," боевик, криминал, триллер", Луи Летерье... ," Франция, США",2002 , 6.8 
Ночные игры," боевик, приключения, комедия", Джон Фрэнсис Дейли... , США,2018 , 6.9 
Балто," мультфильм, приключения, драма", Саймон Уэллс , США,1995 , 7.1 
Предложение," комедия, драма, мелодрама", Энн Флетчер , США,2009 , 6.8 
Мост в Терабитию," фэнтези, драма, приключения", Габор Чупо ," США, Новая Зеландия",2006 , 7.2 
Перл-Харбор," боевик, драма, мелодрама", Майкл Бэй , США,2001 , 6.2 
Хранители снов," мультфильм, фантастика, боевик", Питер Рэмзи ," США, Индия",2012 , 7.2 
В центре внимания," биография, криминал, драма", Том Маккарти , США,2015 , 8.1 
Подозрительные лица," криминал, драма, детектив", Брайан Сингер ," США, Германия",1995 , 8.5 
Расплата," боевик, криминал, драма", Гэвин О’Коннор , США,2016 , 7.3 
Планета обезьян: Война," фантастика, боевик, приключения", Мэтт Ривз , США,2017 , 7.4 
Адреналин," боевик, криминал, триллер", Марк Невелдайн... , США,2006 , 6.9 
Идеальные незнакомцы," комедия, драма, триллер", Паоло Дженовезе , Италия,2016 , 7.7 
Коралина в Стране Кошмаров," мультфильм, драма, семейный", Генри Селик ," США, Австрия, Франция",2008 , 7.8 
СПЕКТР," боевик, приключения, триллер", Сэм Мендес ," Великобритания, США, Марокко",2015 , 6.8 
Люди в черном: Интернэшнл," фантастика, боевик, приключения", Ф. Гэри Грей ," США, Китай",2019 , 5.6 
Сумерки. Сага. Новолуние," фэнтези, приключения, драма", Крис Вайц , США,2009 , 4.8 
Одарённая, драма, Марк Уэбб , США,2017 , 7.6 
Сокровище нации," боевик, приключения, детектив", Джон Тёртлтауб , США,2004 , 6.9 
Райя и последний дракон," мультфильм, фэнтези, приключения", Дон Холл... , США,2021 , 7.3 
В поисках Дори," мультфильм, приключения, комедия", Эндрю Стэнтон... , США,2016 , 7.2 
Вперёд," мультфильм, приключения, комедия", Дэн Скэнлон ," США, Япония",2019 , 7.4 
Дежавю," фантастика, боевик, криминал", Тони Скотт ," США, Великобритания",2006 , 7.1 
12 стульев," приключения, комедия, криминал", Леонид Гайдай , СССР,1971 , 8.2 
Парни со стволами," биография, комедия, криминал", Тодд Филлипс ," США, Румыния",2016 , 7.1 
Догма," фэнтези, приключения, комедия", Кевин Смит , США,1999 , 7.3 
мама!," ужасы, драма, детектив", Даррен Аронофски , США,2017 , 6.6 
Мумия возвращается," фэнтези, боевик, приключения", Стивен Соммерс ," США, Марокко, Великобритания",2001 , 6.4 
Покемон: Детектив Пикачу," фантастика, приключения, комедия", Роб Леттерман ," США, Япония, Великобритания",2019 , 6.5 
Чудо на Гудзоне," биография, драма", Клинт Иствуд , США,2016 , 7.4 
Тоня против всех," биография, комедия, драма", Крэйг Гиллеспи ," США, Великобритания, Катар",2017 , 7.5 
Большая игра," биография, криминал, драма", Аарон Соркин ," США, Канада, Китай",2017 , 7.4 
Операция «Арго»," биография, драма, история", Бен Аффлек ," США, Великобритания",2012 , 7.7 
Капитан Фантастик," драма, комедия", Мэтт Росс , США,2016 , 7.8 
Самый пьяный округ в мире," биография, криминал, драма", Джон Хиллкоут , США,2012 , 7.2 
Солдаты неудачи," боевик, комедия, военный", Бен Стиллер ," Германия, США, Великобритания",2008 , 7.1 
Подземелья и драконы: Честь среди воров," фэнтези, боевик, приключения", Джон Фрэнсис Дейли... ," США, Канада, Великобритания",2023 , 7.2 
Превосходство Борна," боевик, триллер", Пол Гринграсс ," США, Германия, Индия",2004 , 7.7 
Трон: Наследие," фантастика, боевик, приключения", Джозеф Косински ," США, Индия, Великобритания",2010 , 6.8 
Святые из Бундока," боевик, триллер, драма", Трой Даффи ," США, Канада",1999 , 7.6 
РЭД," боевик, комедия, криминал", Роберт Швентке , США,2010 , 7.0 
Жизнь Дэвида Гейла," криминал, драма, детектив", Алан Паркер ," США, Великобритания, Германия",2003 , 7.5 
Револьвер," боевик, криминал, драма", Гай Ричи ," Франция, Великобритания",2005 , 6.3 
Телефонная будка," криминал, триллер", Джоэл Шумахер , США,2002 , 7.1 
Соник в кино," фантастика, фэнтези, боевик", Джефф Фаулер ," США, Япония, Канада",2020 , 6.5 
Чудо-женщина: 1984," фэнтези, боевик, приключения", Пэтти Дженкинс , США,2020 , 5.4 
Четыре комнаты, комедия, Эллисон Андерс... , США,1995 , 6.7 
Милые кости," драма, триллер, мистика", Питер Джексон ," США, Великобритания, Новая Зеландия",2009 , 6.6 
Афера по-американски," криминал, драма", Дэвид О. Расселл ," США, Китай",2013 , 7.2 
Операция «Фортуна»," боевик, комедия, триллер", Гай Ричи ," США, Великобритания, Китай",2022 , 6.3 
Алеша Попович и Тугарин Змей," мультфильм, комедия, приключения", Константин Бронзит , Россия,2004 , 7.1 
Догвилль," криминал, драма", Ларс фон Триер ," Дания, Нидерланды, Швеция",2003 , 8.0 
Звезда родилась," драма, музыка, мелодрама", Брэдли Купер , США,2018 , 7.6 
Секс по дружбе," комедия, мелодрама", Уилл Глак , США,2011 , 6.5 
Машинист," драма, триллер", Брэд Андерсон , Испания,2004 , 7.6 
Звонок," ужасы, триллер, детектив", Гор Вербински ," США, Япония",2002 , 7.1 
Одинокий рейнджер," вестерн, приключения, боевик", Гор Вербински , США,2013 , 6.4 
Век Адалин," мелодрама, фэнтези, драма", Ли Толанд Кригер ," США, Канада",2015 , 7.2 
Трудности перевода," комедия, драма", София Коппола ," США, Япония",2003 , 7.7 
Трансформеры: Эпоха истребления," фантастика, боевик, приключения", Майкл Бэй ," США, Китай, Гонконг",2014 , 5.6 
Крик," ужасы, детектив", Уэс Крэйвен , США,1996 , 7.4 
Диктатор, комедия, Ларри Чарльз , США,2012 , 6.5 
Время," ужасы, драма, детектив", М. Найт Шьямалан ," США, Япония, Китай",2021 , 5.8 
Невидимая сторона," биография, драма, спорт", Джон Ли Хэнкок , США,2009 , 7.6 
В диких условиях," приключения, биография, драма", Шон Пенн , США,2007 , 8.1 
История игрушек 4," мультфильм, приключения, комедия", Джош Кули , США,2019 , 7.6 
Крепкий орешек 3: Возмездие," боевик, приключения, триллер", Джон Мактирнан , США,1995 , 7.6 
Реинкарнация," ужасы, драма, детектив", Ари Астер , США,2018 , 7.3 
Хулиганы," криминал, драма, спорт", Лекси Александр ," Великобритания, США",2004 , 7.4 
Плохие парни навсегда," боевик, комедия, криминал", Адиль Эль Арби... , США,2020 , 6.5 
Малефисента: Владычица тьмы," фэнтези, приключения, драма", Йоаким Рённинг ," США, Великобритания, Канада",2019 , 6.6 
Холодное сердце 2," мультфильм, приключения, комедия", Крис Бак... ," США, Япония",2019 , 6.8 
Погребенный заживо," драма, детектив, триллер", Родриго Кортес ," Испания, Великобритания, Франция",2010 , 7.0 
Эта дурацкая любовь," комедия, драма, мелодрама", Гленн Фикарра... , США,2011 , 7.4 
Мы," триллер, ужасы, мистика", Джордан Пил ," США, Китай, Япония",2019 , 6.8 
Круиз по джунглям," приключения, фэнтези, боевик", Жауме Кольет-Серра ," США, Венгрия, Канада",2021 , 6.6 
Тренировочный день," криминал, драма, триллер", Антуан Фукуа , США,2001 , 7.8 
Таинственная река," криминал, драма, детектив", Клинт Иствуд ," США, Австралия",2003 , 7.9 
Кровавый алмаз," приключения, драма, триллер", Эдвард Цвик ," США, Германия",2006 , 8.0 
Сделано в Америке," боевик, комедия, криминал", Даг Лайман ," США, Япония, Колумбия",2017 , 7.1 
Остров," фантастика, боевик, триллер", Майкл Бэй , США,2005 , 6.8 
"Суини Тодд, демон-парикмахер с Флит-стрит"," мюзикл, ужасы, драма", Тим Бёртон ," США, Великобритания",2007 , 7.3 
Плохие парни," боевик, комедия, криминал", Майкл Бэй , США,1995 , 6.8 
Город бога," криминал, драма", Фернанду Мейреллиш... ," Бразилия, Франция",2002 , 8.6 
Терминатор: Тёмные судьбы," фантастика, боевик, приключения", Тим Миллер ," США, Испания, Венгрия",2019 , 6.2 
Ральф против интернета," мультфильм, фантастика, приключения", Фил Джонстон... , США,2018 , 7.0 
Фантастическая четверка," фантастика, фэнтези, боевик", Тим Стори ," США, Германия",2005 , 5.7 
Вторая жизнь Уве," комедия, драма, мелодрама", Ханнес Холм ," Швеция, Дания, Норвегия",2015 , 7.7 
Сумерки. Сага. Затмение," фэнтези, боевик, приключения", Дэвид Слэйд , США,2010 , 5.1 
Отец," драма, детектив", Флориан Зеллер ," Великобритания, Франция, США",2020 , 8.2 
Воин," боевик, драма, спорт", Гэвин О’Коннор , США,2011 , 8.1 
Кто подставил кролика Роджера," мультфильм, приключения, комедия", Роберт Земекис , США,1988 , 7.7 
Пиджак," фантастика, драма, фэнтези", Джон Мэйбери ," США, Германия",2004 , 7.1 
Ной," боевик, приключения, драма", Даррен Аронофски , США,2014 , 5.8 
Мачо и ботан 2," боевик, комедия, криминал", Фил Лорд... , США,2014 , 7.0 
Скала," боевик, приключения, триллер", Майкл Бэй , США,1996 , 7.4 
Мрачные тени," комедия, фэнтези, ужасы", Тим Бёртон ," США, Австралия, Великобритания",2012 , 6.2 
Телепорт," фантастика, боевик, приключения", Даг Лайман ," США, Канада",2008 , 6.1 
Джон Картер," фантастика, боевик, приключения", Эндрю Стэнтон , США,2012 , 6.6 
Основатель," биография, драма", Джон Ли Хэнкок , США,2016 , 7.2 
13-й район," фантастика, боевик, криминал", Пьер Морель , Франция,2004 , 7.1 
Астрал," ужасы, триллер, мистика", Джеймс Ван , США,2010 , 6.8 
Железная хватка," драма, вестерн", Итан Коэн... , США,2010 , 7.6 
Дом Gucci," драма, биография", Ридли Скотт ," США, Канада, Великобритания",2021 , 6.6 
Полицейская академия," комедия, криминал", Хью Уилсон , США,1984 , 6.7 
Мир Юрского периода 2," фантастика, боевик, приключения", Хуан Антонио Байона ," США, Китай",2018 , 6.1 
Квант милосердия," боевик, приключения, детектив", Марк Форстер ," Великобритания, США, Италия",2008 , 6.5 
Индиана Джонс и Королевство хрустального черепа," фантастика, боевик, триллер", Стивен Спилберг , США,2008 , 6.2 
Вышка," боевик, триллер", Скотт Манн ," Великобритания, США",2022 , 6.4 
Человек-невидимка," фантастика, триллер, детектив", Ли Уоннелл ," США, Австралия",2020 , 7.1 
Куб," фантастика, ужасы, детектив", Винченцо Натали , Канада,1997 , 7.1 
Искупление," драма, мелодрама, военный", Джо Райт ," Великобритания, США, Франция",2007 , 7.8 
Место под соснами," криминал, драма, триллер", Дерек Сиенфрэнс , США,2012 , 7.3 
Птичий короб," фантастика, ужасы, детектив", Сюзанна Бир , США,2018 , 6.6 
El Camino: Во все тяжкие. Фильм," драма, криминал", Винс Гиллиган , США,2019 , 7.3 
Васаби," боевик, комедия, криминал", Жерар Кравчик ," Франция, Япония",2001 , 6.6 
Левиафан," криминал, драма", Андрей Звягинцев , Россия,2014 , 7.6 
Крепкий орешек 4.0," боевик, триллер", Лен Уайзман ," США, Великобритания",2007 , 7.1 
Отпуск по обмену," комедия, мелодрама", Нэнси Майерс , США,2006 , 7.0 
Хардкор," фантастика, боевик, приключения", Илья Найшуллер , Россия,2016 , 6.7 
Бесподобный мистер Фокс," мультфильм, приключения, комедия", Уэс Андерсон , США,2009 , 7.9 
План побега," боевик, триллер", Микаэль Хофстрём , США,2013 , 6.7 
Ангелы и Демоны," детектив, триллер", Рон Ховард ," США, Италия",2009 , 6.7 
Мальчишник: Часть III," комедия, криминал", Тодд Филлипс , США,2013 , 5.8 
Заражение," триллер, драма", Стивен Содерберг ," США, ОАЭ",2011 , 6.8 
Последняя дуэль," драма, история, боевик", Ридли Скотт ," США, Великобритания",2021 , 7.3 
Убийцы цветочной луны," криминал, драма, история", Мартин Скорсезе , США,2023 , 7.6 
Пила 2," ужасы, детектив", Даррен Линн Боусман ," США, Канада",2005 , 6.6 
Хроники Риддика," фантастика, боевик, приключения", Дэвид Туи , США,2004 , 6.6 
До встречи с тобой," драма, мелодрама", Теа Шэррок , США,2016 , 7.4 
Стальной гигант," мультфильм, фантастика, боевик", Брэд Бёрд ," США, Чехия, Великобритания",1999 , 8.1 
Пекло," фантастика, триллер, детектив", Дэнни Бойл ," Великобритания, США",2007 , 7.2 
Искусственный разум," фантастика, приключения, драма", Стивен Спилберг ," США, Великобритания",2001 , 7.2 
Неудержимые 2," боевик, приключения, триллер", Саймон Уэст ," США, Германия, Китай",2012 , 6.6 
Фаворитка," биография, комедия, драма", Йоргос Лантимос ," Ирландия, Великобритания, США",2018 , 7.5 
Снайпер," боевик, биография, драма", Клинт Иствуд , США,2014 , 7.3 
Стартрек: Бесконечность," фантастика, боевик, приключения", Джастин Лин ," США, Китай",2016 , 7.0 
Дорога," драма, триллер", Джон Хиллкоут , США,2009 , 7.2 
Бэтмен," фантастика, боевик, триллер", Тим Бёртон ," США, Великобритания",1989 , 7.5 
Не дыши," ужасы, криминал, триллер", Феде Альварес ," США, Венгрия",2016 , 7.1 
Маленькие женщины," драма, мелодрама", Грета Гервиг , США,2019 , 7.8 
Судья Дредд," фантастика, боевик, криминал", Пит Трэвис ," Великобритания, ЮАР, США",2012 , 7.1 
Человек-швейцарский нож," комедия, драма, фэнтези", Дэниэл Кван... , США,2016 , 6.9 
Хорошо быть тихоней, драма, Стивен Чбоски , США,2012 , 7.9 
Холоп," комедия, мелодрама", Клим Шипенко , Россия,2019 , 6.6 
Кунг-фу Панда 3," мультфильм, боевик, приключения", Алессандро Карлони... ," США, Китай",2016 , 7.1 
Двухсотлетний человек," фантастика, драма, мелодрама", Крис Коламбус ," США, Германия",1999 , 6.9 
Боец," боевик, биография, драма", Дэвид О. Расселл , США,2010 , 7.8 
Бедные-несчастные," фантастика, драма, мелодрама", Йоргос Лантимос ," США, Ирландия, Великобритания",2023 , 7.8 
Хеллбой: Герой из пекла," фантастика, фэнтези, ужасы", Гильермо дель Торо , США,2004 , 6.9 
Прогулка," приключения, биография, драма", Роберт Земекис , США,2015 , 7.3 
Дети шпионов," фантастика, боевик, приключения", Роберт Родригес , США,2001 , 5.6 
Красавица и чудовище," фэнтези, мюзикл, приключения", Билл Кондон , США,2017 , 7.1 
Эйс Вентура 2: Когда зовёт природа," приключения, комедия, криминал", Стив Одекерк , США,1995 , 6.4 
Однажды в Америке," криминал, драма", Серджио Леоне ," США, Италия",1983 , 8.3 
Однажды в Ирландии," комедия, криминал, триллер", Джон Майкл Макдона ," Ирландия, Великобритания, США",2011 , 7.3 
Девять," мультфильм, фантастика, боевик", Шэйн Экер ," США, Германия",2009 , 7.0 
Ученик чародея," фэнтези, боевик, приключения", Джон Тёртлтауб ," США, Австралия, Филиппины",2010 , 6.1 
Смертельное оружие," боевик, криминал, триллер", Ричард Доннер , США,1987 , 7.6 
Знамение," фантастика, детектив, триллер", Алекс Пройас ," США, Великобритания, Австралия",2009 , 6.2 
8 миля," драма, музыка", Кёртис Хэнсон , США,2002 , 7.2 
Другой мир," фэнтези, боевик, триллер", Лен Уайзман ," США, Великобритания, Германия",2003 , 7.0 
Девчата," комедия, мелодрама", Юрий Чулюкин , СССР,1961 , 7.8 
Разрушение," драма, комедия", Жан-Марк Валле , США,2015 , 7.0 
Банши Инишерина," драма, комедия", Мартин Макдона ," Ирландия, Великобритания, США",2022 , 7.7 
Проект X, комедия, Нима Нуризаде , США,2012 , 6.7 
Призрачный гонщик," боевик, фэнтези, триллер", Марк Стивен Джонсон ," США, Австралия",2007 , 5.3 
Шерлок Холмс и доктор Ватсон: Собака Баскервилей," приключения, криминал, детектив", Игорь Масленников , СССР,1981 , 8.5 
Черепашки-ниндзя," фантастика, фэнтези, боевик", Джонатан Либесман , США,2014 , 5.8 
Лука," мультфильм, приключения, комедия", Энрико Касароса , США,2021 , 7.4 
Миссия невыполнима 2," боевик, приключения, триллер", Джон Ву ," США, Германия, Австралия",2000 , 6.1 
Факультет," ужасы, фантастика, триллер", Роберт Родригес ," США, Мексика",1998 , 6.6 
Тайлер Рейк: Операция по спасению," боевик, криминал, триллер", Сэм Харгрейв ," США, Индия",2020 , 6.8 
Поезд на Юму," боевик, криминал, драма", Джеймс Мэнголд , США,2007 , 7.6 
Семейка Крудс," мультфильм, приключения, комедия", Кирк де Микко... , США,2013 , 7.1 
Патруль времени," фантастика, боевик, драма", Майкл Спириг... ," Австралия, США",2013 , 7.4 
Чужой 3," ужасы, фантастика, боевик", Дэвид Финчер ," США, Великобритания",1992 , 6.4 
Призрачный патруль," боевик, комедия, мистика", Роберт Швентке , США,2013 , 5.6 
Турист," боевик, триллер", Флориан Хенкель фон Доннерсмарк ," США, Франция, Италия",2010 , 6.0 
Любой ценой," криминал, драма, триллер", Дэвид Маккензи , США,2016 , 7.6 
Пробуждение," биография, драма", Пенни Маршалл , США,1990 , 7.8 
Кошмар на улице Вязов," ужасы, мистика", Уэс Крэйвен , США,1984 , 7.4 
Знакомство с родителями," комедия, мелодрама", Джей Роуч , США,2000 , 7.0 
Сумерки. Сага: Рассвет – Часть 2," фэнтези, приключения, драма", Билл Кондон , США,2012 , 5.6 
Сумерки. Сага. Рассвет: Часть 1," фэнтези, приключения, драма", Билл Кондон , США,2011 , 4.9 
Смерть на Ниле," криминал, драма, детектив", Кеннет Брана , США,2020 , 6.3 
Кровью и потом: Анаболики," криминал, комедия, триллер", Майкл Бэй , США,2013 , 6.4 
Отличница лёгкого поведения," комедия, драма, мелодрама", Уилл Глак , США,2010 , 7.0 
Ледниковый период 4: Континентальный дрейф," мультфильм, комедия, приключения", Стив Мартино... ," США, Великобритания, Канада",2012 , 6.5 
Бегущий в лабиринте: Испытание огнём," фантастика, боевик, триллер", Уэс Болл , США,2015 , 6.3 
Рейд," боевик, криминал, триллер", Гарет Эванс ," Индонезия, Франция, США",2011 , 7.6 
Патруль," драма, криминал, боевик", Дэвид Эйр ," США, Великобритания",2012 , 7.6 
Миссия невыполнима 3," боевик, приключения, триллер", Джей Джей Абрамс ," США, Германия, Китай",2006 , 6.9 
Головоломка 2," мультфильм, приключения, комедия", Келси Манн , США,2024 , 7.6 
Кошмар перед Рождеством," мультфильм, семейный, фэнтези", Генри Селик , США,1993 , 7.9 
Счастливого дня смерти," комедия, ужасы, детектив", Кристофер Лэндон , США,2017 , 6.6 
Ганнибал," триллер, драма, криминал", Ридли Скотт ," США, Великобритания, Италия",2001 , 6.8 
Очень плохая училка," комедия, мелодрама", Джейк Кэздан , США,2011 , 5.7 
Миньоны," мультфильм, фантастика, приключения", Кайл Балда... ," США, Франция",2015 , 6.4 
Несносные боссы," комедия, криминал", Сет Гордон , США,2011 , 6.9 
Такси 4," боевик, комедия, криминал", Жерар Кравчик , Франция,2007 , 5.6 
Форсаж 9," боевик, криминал, триллер", Джастин Лин ," США, Таиланд, Канада",2021 , 5.2 
Горбатая гора," драма, мелодрама", Энг Ли ," США, Канада",2005 , 7.7 
Годзилла," фантастика, боевик, приключения", Гарет Эдвардс ," США, Япония",2014 , 6.4 
Хеллбой II: Золотая армия," фантастика, фэнтези, ужасы", Гильермо дель Торо ," США, Германия, Венгрия",2008 , 7.0 
Книга джунглей," приключения, драма, семейный", Джон Фавро ," США, Великобритания, Новая Зеландия",2016 , 7.3 
Синистер," ужасы, триллер, детектив", Скотт Дерриксон ," США, Великобритания, Канада",2012 , 6.8 
Враг общества," биография, криминал, драма", Майкл Манн ," США, Япония",2009 , 6.9 
Жизнь других," драма, детектив, триллер", Флориан Хенкель фон Доннерсмарк ," Германия, Франция",2006 , 8.4 
Хроники хищных городов," фантастика, фэнтези, боевик", Кристиан Риверс ," Новая Зеландия, США, Япония",2018 , 6.1 
Пушки Акимбо," боевик, комедия, криминал", Джейсон Хауден ," Германия, Новая Зеландия, Великобритания",2019 , 6.3 
Бессонница," драма, детектив, триллер", Кристофер Нолан ," США, Великобритания",2002 , 7.2 
Плохой Санта," комедия, криминал, драма", Терри Цвигофф ," США, Германия",2003 , 7.0 
Тайное окно," драма, детектив, триллер", Дэвид Кепп , США,2004 , 6.5 
Рождественская история," мультфильм, приключения, комедия", Роберт Земекис , США,2009 , 6.8 
Повелитель бури," драма, триллер, военный", Кэтрин Бигелоу ," США, Люксембург",2008 , 7.5 
Дело храбрых," боевик, биография, драма", Джозеф Косински , США,2017 , 7.6 
С широко закрытыми глазами," драма, детектив, триллер", Стэнли Кубрик ," США, Великобритания",1999 , 7.5 
Тачки 2," мультфильм, фантастика, приключения", Джон Лассетер... ," США, Япония",2011 , 6.2 
На Западном фронте без перемен," военный, боевик, драма", Эдвард Бергер ," Германия, США, Великобритания",2022 , 7.8 
Пятьдесят оттенков серого," мелодрама, драма", Сэм Тейлор-Джонсон , США,2015 , 4.2 
Почему он?, комедия, Джон Гамбург , США,2016 , 6.2 
8 подруг Оушена," комедия, криминал, триллер", Гэри Росс , США,2018 , 6.3 
Притворись моей женой," комедия, мелодрама", Деннис Дуган , США,2011 , 6.4 
Воспоминания об убийстве," криминал, драма, детектив", Пон Джун Хо , Южная Корея,2003 , 8.1 
Бамблби," фантастика, боевик, приключения", Трэвис Найт ," США, Китай",2018 , 6.7 
Финч," фантастика, приключения, драма", Мигель Сапочник ," США, Индия",2021 , 6.9 
Глубоководный горизонт," боевик, драма, история", Питер Берг ," США, Гонконг",2016 , 7.1 
Угнать за 60 секунд," боевик, криминал, триллер", Доминик Сена , США,2000 , 6.5 
Обитель зла 2: Апокалипсис," фантастика, ужасы, боевик", Александр Уитт ," Канада, Германия, Великобритания",2004 , 6.1 
Вспомнить всё," фантастика, боевик, приключения", Лен Уайзман ," США, Канада, Великобритания",2012 , 6.2 
Охотники за привидениями: Наследники," фантастика, комедия, боевик", Джейсон Райтман ," США, Канада",2021 , 7.0 
Кредо убийцы," фантастика, боевик, приключения", Джастин Курзель ," США, Франция, Великобритания",2016 , 5.6 
Гангстер," биография, криминал, драма", Ридли Скотт ," США, Великобритания",2007 , 7.8 
Битлджюс," комедия, фэнтези", Тим Бёртон , США,1988 , 7.5 
Правдивая ложь," боевик, комедия, триллер", Джеймс Кэмерон , США,1994 , 7.3 
"Не грози Южному Централу, попивая сок у себя в квартале"," комедия, криминал", Пэрис Барклай , США,1995 , 6.5 
Армагеддец," фантастика, боевик, комедия", Эдгар Райт ," Великобритания, США, Япония",2013 , 6.9 
Мумия," фэнтези, ужасы, боевик", Алекс Куртцман ," США, Китай, Япония",2017 , 5.4 
Двадцать одно," криминал, драма, триллер", Роберт Лукетич , США,2008 , 6.8 
Собачья жизнь," фэнтези, приключения, комедия", Лассе Халльстрём ," США, Индия",2017 , 7.2 
Взрывная блондинка," боевик, триллер", Дэвид Литч ," США, Швеция, Венгрия",2017 , 6.7 
Звёздная пыль," фэнтези, приключения, мелодрама", Мэттью Вон ," США, Великобритания, Исландия",2007 , 7.6 
Враг," драма, детектив, триллер", Дени Вильнёв ," Канада, Испания",2013 , 6.9 
Курьер," комедия, драма, мелодрама", Карен Шахназаров , СССР,1986 , 7.8 
Тайна третьей планеты," мультфильм, фантастика, приключения", Роман Качанов , СССР,1981 , 7.8 
Час пик 2," боевик, комедия, криминал", Бретт Рэтнер ," США, Гонконг",2001 , 6.7 
Вольт," мультфильм, фантастика, приключения", Байрон Ховард... ," США, Япония",2008 , 6.8 
Адреналин: Высокое напряжение," криминал, боевик, комедия", Марк Невелдайн... , США,2009 , 6.1 
Чужой: Ромул," фантастика, ужасы, триллер", Феде Альварес ," США, Великобритания, Венгрия",2024 , 7.1 
Пункт назначения 2," ужасы, триллер, мистика", Дэвид Р. Эллис ," США, Канада",2003 , 6.2 
Плохие парни 2," боевик, комедия, криминал", Майкл Бэй , США,2003 , 6.6 
Дикие истории," комедия, драма, триллер", Дамиан Сифрон ," Аргентина, Испания, Франция",2014 , 8.1 
Ночь в музее 2," фэнтези, комедия, приключения", Шон Леви ," США, Канада",2009 , 6.0 
Знакомство с Факерами, комедия, Джей Роуч , США,2004 , 6.3 
Унесённые ветром," драма, мелодрама, военный", Виктор Флеминг... , США,1939 , 8.2 
Кокаин," биография, криминал, драма", Тед Демме , США,2001 , 7.5 
Царство Небесное," боевик, приключения, драма", Ридли Скотт ," Испания, США",2005 , 7.3 
Основной инстинкт," драма, детектив, триллер", Пол Верховен ," США, Франция, Великобритания",1992 , 7.1 
Тайна 7 сестер," фантастика, боевик, триллер", Томми Виркола ," Великобритания, Франция, США",2017 , 6.8 
Шерлок Холмс и доктор Ватсон: Знакомство," криминал, детектив", Игорь Масленников , СССР,1979 , 8.5 
Рио," мультфильм, приключения, комедия", Карлос Салдана ," США, Великобритания",2011 , 6.9 
Обитель зла 3," фантастика, ужасы, боевик", Рассел Малкэй ," Германия, США, Франция",2007 , 6.2 
Астерикс и Обеликс: Миссия Клеопатра," фэнтези, приключения, комедия", Ален Шаба ," Франция, Германия, Бельгия",2001 , 6.7 
Капитан Филлипс," триллер, драма, криминал", Пол Гринграсс , США,2013 , 7.8 
Комната," драма, триллер", Леонард Абрахамсон ," Канада, Ирландия, Великобритания",2015 , 8.1 
