Название,Жанр,Режиссер,Страна,Год,IMDB
Реквием по мечте, драма, Даррен Аронофски , США,2000 , 8.3 
Пассажиры," фантастика, драма, мелодрама", Мортен Тильдум ," США, Австралия, Гонконг",2016 , 7.0 
Исходный код," фантастика, боевик, триллер", Дункан Джонс ," США, Канада, Франция",2011 , 7.5 
Список Шиндлера," биография, драма, история", Стивен Спилберг , США,1993 , 9.0 
Не смотрите наверх," фантастика, комедия, драма", Адам Маккей ," США, Канада",2021 , 7.2 
Законопослушный гражданин," боевик, криминал, драма", Ф. Гэри Грей , США,2009 , 7.4 
Хоббит: Битва пяти воинств," фэнтези, приключения", Питер Джексон ," Новая Зеландия, США",2014 , 7.4 
Игра в имитацию," биография, драма, триллер", Мортен Тильдум , США,2014 , 8.0 
Главный герой," фантастика, фэнтези, боевик", Шон Леви ," США, Канада",2020 , 7.1 
1917," драма, военный, боевик", Сэм Мендес ," Великобритания, США, Индия",2019 , 8.2 
Человек-муравей," фантастика, боевик, комедия", Пейтон Рид , США,2015 , 7.2 
Крепкий орешек," боевик, триллер", Джон Мактирнан , США,1988 , 8.2 
Чужой," фантастика, ужасы", Ридли Скотт ," США, Великобритания",1979 , 8.5 
Бриллиантовая рука," комедия, криминал, детектив", Леонид Гайдай , СССР,1968 , 8.3 
Гнев человеческий," боевик, криминал, триллер", Гай Ричи ," Великобритания, США",2021 , 7.1 
Хатико: Самый верный друг," биография, драма, семейный", Лассе Халльстрём ," США, Великобритания",2008 , 8.1 
Константин: Повелитель тьмы," ужасы, фэнтези, боевик", Фрэнсис Лоуренс ," США, Германия",2005 , 7.0 
Голодные игры," фантастика, боевик, приключения", Гэри Росс , США,2012 , 7.2 
Мадагаскар," мультфильм, приключения, комедия", Эрик Дарнелл... ," США, Канада, Великобритания",2005 , 6.9 
Кунг-фу Панда," мультфильм, боевик, приключения", Марк Осборн... , США,2008 , 7.6 
Чёрная Пантера," фантастика, боевик, приключения", Райан Куглер , США,2018 , 7.3 
Малыш на драйве," боевик, криминал, драма", Эдгар Райт ," США, Великобритания",2017 , 7.5 
Бешеные псы," криминал, триллер", Квентин Тарантино , США,1991 , 8.3 
Большой Лебовски," комедия, криминал", Джоэл Коэн... ," США, Великобритания",1998 , 8.1 
Драйв," боевик, драма", Николас Виндинг Рефн , США,2011 , 7.8 
Игра," триллер, драма, детектив", Дэвид Финчер , США,1997 , 7.7 
Спасти рядового Райана," драма, военный", Стивен Спилберг , США,1998 , 8.6 
"Я, робот"," фантастика, боевик, детектив", Алекс Пройас ," США, Германия",2004 , 7.1 
Ла-Ла Ленд," мюзикл, мелодрама, драма", Дэмьен Шазелл ," США, Гонконг",2016 , 8.0 
Звёздные войны: Эпизод 4 – Новая надежда," фантастика, фэнтези, боевик", Джордж Лукас , США,1977 , 8.6 
Старикам тут не место," криминал, драма, триллер", Итан Коэн... , США,2007 , 8.2 
Помни," детектив, триллер", Кристофер Нолан , США,2000 , 8.4 
По соображениям совести," биография, драма, история", Мэл Гибсон , США,2016 , 8.1 
Сияние," ужасы, драма, мистика", Стэнли Кубрик ," США, Великобритания",1980 , 8.4 
Человек-паук 2," фантастика, боевик, приключения", Сэм Рэйми , США,2004 , 7.5 
Добро пожаловать в Zомбилэнд," боевик, комедия, ужасы", Рубен Фляйшер , США,2009 , 7.5 
Джон Уик 2," боевик, криминал, триллер", Чад Стахелски ," США, Италия, Гонконг",2017 , 7.4 
Первый мститель: Другая война," фантастика, боевик, приключения", Энтони Руссо... , США,2014 , 7.7 
Брюс Всемогущий," комедия, фэнтези", Том Шэдьяк , США,2003 , 6.8 
Время," фантастика, триллер, драма", Эндрю Никкол , США,2011 , 6.7 
История игрушек," мультфильм, приключения, комедия", Джон Лассетер , США,1995 , 8.3 
Изгой," приключения, драма, мелодрама", Роберт Земекис , США,2000 , 7.8 
Шерлок Холмс: Игра теней," боевик, приключения, детектив", Гай Ричи , США,2011 , 7.4 
Матрица: Перезагрузка," фантастика, боевик", Лана Вачовски... , США,2003 , 7.2 
Американская история X," криминал, драма", Тони Кэй , США,1998 , 8.5 
Шестое чувство," фэнтези, детектив, триллер", М. Найт Шьямалан , США,1999 , 8.2 
Брат 2," криминал, драма, триллер", Алексей Балабанов ," Россия, США",2000 , 7.6 
Пролетая над гнездом кукушки, драма, Милош Форман , США,1975 , 8.7 
Район №9," фантастика, боевик, триллер", Нил Бломкамп ," ЮАР, США, Новая Зеландия",2009 , 7.9 
Звёздные войны: Эпизод 5 – Империя наносит ответный удар," фантастика, фэнтези, боевик", Ирвин Кершнер , США,1980 , 8.7 
Звёздные войны: Эпизод 3 – Месть ситхов," фантастика, боевик, приключения", Джордж Лукас ," США, Италия, Швейцария",2005 , 7.6 
Дюнкерк," боевик, драма, история", Кристофер Нолан ," Великобритания, Нидерланды, Франция",2017 , 7.8 
Джентльмены удачи," комедия, криминал, детектив", Александр Серый , СССР,1971 , 8.3 
Прочь," ужасы, детектив, триллер", Джордан Пил ," США, Япония",2017 , 7.8 
Залечь на дно в Брюгге," комедия, криминал, драма", Мартин Макдона ," Великобритания, США",2007 , 7.9 
Гравитация," фантастика, драма, триллер", Альфонсо Куарон ," США, Великобритания",2013 , 7.7 
Трансформеры," фантастика, боевик, приключения", Майкл Бэй , США,2007 , 7.1 
Оппенгеймер," биография, драма, история", Кристофер Нолан ," США, Великобритания",2023 , 8.3 
Первый мститель," фантастика, боевик, приключения", Джо Джонстон , США,2011 , 6.9 
Далласский клуб покупателей," биография, драма", Жан-Марк Валле , США,2013 , 7.9 
Пираты Карибского моря: На странных берегах," фэнтези, боевик, комедия", Роб Маршалл ," США, Великобритания",2011 , 6.6 
Город грехов," боевик, триллер, криминал", Роберт Родригес... , США,2005 , 8.0 
Круэлла," криминал, комедия, драма", Крэйг Гиллеспи ," США, Великобритания, Канада",2021 , 7.3 
"Кавказская пленница, или Новые приключения Шурика"," комедия, мелодрама, приключения", Леонид Гайдай , СССР,1966 , 8.3 
Люди Икс: Дни минувшего будущего," фантастика, боевик, приключения", Брайан Сингер ," США, Великобритания, Канада",2014 , 7.9 
Такси," боевик, комедия, криминал", Жерар Пирес , Франция,1998 , 7.0 
Славные парни," боевик, комедия, криминал", Шейн Блэк , США,2016 , 7.4 
Звёздные войны: Эпизод 6 – Возвращение Джедая," фантастика, фэнтези, боевик", Ричард Маркуанд , США,1983 , 8.3 
Холодное сердце," мультфильм, мюзикл, фэнтези", Крис Бак... , США,2013 , 7.4 
Троя," боевик, история, драма", Вольфганг Петерсен ," США, Болгария, Великобритания",2004 , 7.3 
V значит вендетта," фантастика, боевик, триллер", Джеймс МакТиг ," США, Великобритания, Германия",2006 , 8.1 
Убить Билла 2," боевик, криминал, триллер", Квентин Тарантино , США,2004 , 8.0 
Война Миров Z," фантастика, ужасы, боевик", Марк Форстер , США,2013 , 7.0 
300 спартанцев," боевик, драма", Зак Снайдер ," США, Канада, Болгария",2007 , 7.6 
Капитан Марвел," фантастика, боевик, приключения", Анна Боден... ," США, Австралия",2019 , 6.8 
Бёрдмэн," комедия, драма", Алехандро Гонсалес Иньярриту , США,2014 , 7.7 
Апгрейд," фантастика, триллер, боевик", Ли Уоннелл ," Австралия, США",2018 , 7.5 
Бегущий по лезвию," фантастика, триллер, драма", Ридли Скотт ," США, Великобритания",1982 , 8.1 
